63 1.61191e+08 0.0147238 (-4.73495e+07,-1.5258e+08,0) (27.7509,-8.25603,-0) 2.20416
64 1.58543e+08 0.0587649 (4.48072e+07,-1.57096e+08,0) (27.3457,6.33087,0) -0.315288
65 1.6098e+08 0.0399562 (-1.54788e+07,1.57608e+08,0) (-29.1307,-1.79014,0) -2.66209
66 1.59959e+08 0.0358413 (1.48727e+08,-4.09141e+07,0) (7.82083,28.8113,-0) 2.97129
67 1.5784e+08 0.060718 (1.3318e+08,-9.98856e+07,0) (17.0459,21.5214,0) -0.220706
68 1.62053e+08 0.0290019 (8.79584e+07,1.31917e+08,0) (-24.014,16.6921,0) -2.90875
69 1.54208e+08 0.0558512 (1.03561e+08,-1.02746e+08,0) (22.1238,21.67,0) 2.08668
70 1.64504e+08 0.062787 (-1.64314e+08,-4.4936e+07,0) (5.85209,-26.7827,0) -1.95611
71 1.51952e+08 0.0282241 (1.48543e+08,1.92419e+07,0) (-4.5745,29.63,-0) -1.9474
72 1.58637e+08 0.0332895 (-8.72858e+06,1.62834e+08,0) (-28.1123,-0.996386,0) 2.18193
73 1.60361e+08 0.0757138 (3.15986e+07,-1.67449e+08,0) (26.7429,3.87421,0) -0.828834
74 1.57418e+08 0.0496507 (1.59126e+08,-4.32723e+07,0) (6.88398,26.8194,0) -0.542574
75 1.51174e+08 0.0556748 (-7.9393e+07,1.23193e+08,0) (-26.4231,-15.3357,0) -2.03609
76 1.63942e+08 0.0424467 (1.39127e+08,-7.34573e+07,0) (14.1782,26.014,0) 2.32567
77 1.59288e+08 0.0765586 (1.21558e+08,-1.19838e+08,0) (19.3752,18.6158,0) -0.443426
78 1.57457e+08 0.0243434 (1.49899e+08,3.42274e+07,0) (-6.43291,29.0211,0) 3.09576
79 1.6037e+08 0.0726082 (1.61116e+08,4.09457e+07,0) (-8.50532,26.3999,0) -0.732247
80 1.52945e+08 0.0457968 (-1.17135e+08,-1.08002e+08,0) (18.7577,-21.1311,0) -1.99051
81 1.57703e+08 0.0715988 (1.48171e+08,-7.45428e+07,0) (13.5843,23.9654,0) 0.248424
82 1.60996e+08 0.0315908 (1.47437e+08,-7.1275e+07,0) (11.6064,25.7283,0) -1.41989
